Unnamed: 0,Unnamed: 0_x,Player_Name,Position_x,Age,Matches Played,Starts,90 mins played,Non Penalty xG,Expected Assisted Goals,Non Penalty xG + Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Recvd,Goals/90,Assists/90,(Goals+Assists)/90,Non Penalty Goals/90,Non Pen Goals+Assists/90,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90,Shot On Target %,Shots total/90,Shots on Target/90,Goals/Shot,Non Penalty (Goals-xG),Passes Completed,Pass Completion Percentage,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Through Balls,Switches,Crosses,Shot Creating Actions/90,Successful Take Ons,Tackles,Tackles Won,Number of Blocks,Shots Blocked,Passes Blocked,Interceptions,Clearances,Errors leading to goal,Touches,Touches in Attacking 3rd,Touches in Penalty Box,Penalty Kicks won,Ball Recoveries,% of Aerial Duels won,Unnamed: 53,Goals,Assists,Goals+Assists,Non-penalty goals,Non penalty goals+assists,Unnamed: 0_y,Player Age,Value,Club_Name,Nationality,Position_y,Unnamed: 66,Player_Name.1
10.0,10.0,Hirving Lozano,FW,27.0,32,20.0,17.8,4.6,3.3,7.9,86.0,49.0,190.0,0.17,0.17,0.34,0.11,0.28,0.3,0.19,0.49,0.26,0.45,31.7,2.3,0.73,0.05,-2.6,441.0,75.0,30.0,25.0,40.0,22.0,0.0,3.0,73.0,3.82,0.0,24.0,13.0,31.0,0.0,31.0,15.0,6.0,0.0,811.0,467.0,77.0,0.0,60.0,38.1,,3,3.0,6.0,2.0,5.0,1052.0,27.0,28.00m,SSC Napoli,Mexico,Right Winger,,Hirving Lozano
11.0,11.0,Mathías Olivera,DF,25.0,30,17.0,18.3,0.7,2.1,2.8,60.0,88.0,68.0,0.11,0.11,0.22,0.11,0.22,0.04,0.12,0.16,0.04,0.16,44.4,0.49,0.22,0.22,1.3,1200.0,86.9,24.0,100.0,12.0,4.0,1.0,8.0,19.0,2.35,0.0,39.0,23.0,28.0,2.0,26.0,22.0,26.0,0.0,1588.0,432.0,40.0,0.0,99.0,44.0,,2,2.0,4.0,2.0,4.0,1038.0,25.0,18.00m,SSC Napoli,Uruguay,Left-Back,,Mathías Olivera
12.0,12.0,Elif Elmas,"FW,MF",23.0,36,14.0,18.1,3.3,1.9,5.2,42.0,73.0,103.0,0.33,0.17,0.5,0.28,0.44,0.22,0.11,0.33,0.18,0.29,31.3,1.77,0.55,0.16,1.7,879.0,86.9,27.0,60.0,31.0,9.0,3.0,3.0,30.0,3.15,1.0,24.0,13.0,18.0,2.0,16.0,11.0,5.0,0.0,1196.0,498.0,47.0,0.0,77.0,26.3,,6,3.0,9.0,5.0,8.0,,,,SSC Napoli,,,,Elif Elmas
13.0,13.0,Matteo Politano,FW,29.0,27,14.0,13.0,1.7,3.6,5.4,81.0,72.0,138.0,0.23,0.23,0.46,0.08,0.31,0.32,0.28,0.6,0.13,0.41,20.0,2.32,0.46,0.03,-0.7,468.0,73.0,34.0,34.0,27.0,8.0,2.0,8.0,82.0,5.48,0.0,18.0,9.0,6.0,0.0,6.0,7.0,7.0,0.0,798.0,439.0,57.0,0.0,66.0,33.3,,3,3.0,6.0,1.0,4.0,1053.0,29.0,20.00m,SSC Napoli,Italy,Right Winger,,Matteo Politano
14.0,14.0,Juan Jesus,DF,31.0,15,10.0,10.4,0.2,0.1,0.3,14.0,55.0,3.0,0.1,0.0,0.1,0.1,0.1,0.02,0.01,0.02,0.02,0.02,20.0,0.48,0.1,0.2,0.8,669.0,90.2,2.0,45.0,1.0,0.0,1.0,0.0,0.0,1.25,0.0,16.0,11.0,18.0,11.0,7.0,10.0,29.0,0.0,834.0,21.0,7.0,0.0,58.0,76.9,,1,0.0,1.0,1.0,1.0,1037.0,31.0,4.00m,SSC Napoli,Brazil,Centre-Back,,Juan Jesus
15.0,15.0,Giacomo Raspadori,"FW,MF",23.0,25,10.0,10.1,3.5,1.3,4.8,13.0,33.0,88.0,0.2,0.2,0.4,0.2,0.4,0.35,0.13,0.47,0.35,0.47,39.0,4.06,1.59,0.05,-1.5,348.0,77.0,18.0,20.0,13.0,1.0,0.0,6.0,32.0,4.26,0.0,10.0,8.0,9.0,0.0,9.0,4.0,4.0,0.0,577.0,290.0,55.0,0.0,31.0,27.3,,2,2.0,4.0,2.0,4.0,1054.0,23.0,35.00m,SSC Napoli,Italy,Second Striker,,Giacomo Raspadori
16.0,16.0,Tanguy Ndombele,MF,26.0,30,8.0,9.0,1.0,0.5,1.4,27.0,52.0,33.0,0.11,0.0,0.11,0.11,0.11,0.11,0.05,0.16,0.11,0.16,12.5,1.78,0.22,0.06,0.0,504.0,87.8,9.0,41.0,9.0,0.0,1.0,0.0,1.0,2.24,0.0,14.0,8.0,10.0,1.0,9.0,7.0,7.0,1.0,685.0,189.0,28.0,0.0,42.0,70.0,,1,0.0,1.0,1.0,1.0,,,,SSC Napoli,,,,Tanguy Ndombele
17.0,17.0,Leo Skiri Østigård,DF,23.0,7,4.0,4.7,0.1,0.0,0.1,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.64,0.0,0.0,-0.1,306.0,85.7,0.0,26.0,0.0,0.0,0.0,9.0,0.0,0.43,0.0,4.0,1.0,3.0,3.0,0.0,6.0,18.0,1.0,401.0,17.0,2.0,0.0,18.0,81.1,,0,0.0,0.0,0.0,0.0,,,,SSC Napoli,,,,Leo Skiri Østigård
18.0,18.0,Pierluigi Gollini,GK,28.0,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,136.0,85.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,166.0,0.0,0.0,0.0,5.0,,,0,0.0,0.0,0.0,0.0,1031.0,28.0,5.00m,SSC Napoli,Italy,Goalkeeper,,Pierluigi Gollini
19.0,19.0,Alessio Zerbin,FW,24.0,10,2.0,2.2,0.3,0.0,0.3,5.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,60.0,2.27,1.36,0.0,-0.3,56.0,71.8,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.92,0.0,10.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,115.0,36.0,9.0,0.0,8.0,0.0,,0,0.0,0.0,0.0,0.0,1051.0,24.0,4.00m,SSC Napoli,Italy,Left Winger,,Alessio Zerbin
20.0,20.0,Bartosz Bereszynski,DF,30.0,3,2.0,1.8,0.0,0.2,0.2,8.0,7.0,7.0,0.0,0.55,0.55,0.0,0.55,0.0,0.1,0.1,0.0,0.1,,0.0,0.0,,0.0,87.0,82.9,2.0,5.0,3.0,0.0,0.0,2.0,0.0,1.09,0.0,3.0,2.0,4.0,0.0,4.0,3.0,3.0,0.0,124.0,32.0,1.0,0.0,14.0,66.7,,0,1.0,1.0,0.0,1.0,,,,SSC Napoli,,,,Bartosz Bereszynski
21.0,21.0,Diego Demme,MF,31.0,7,2.0,1.6,0.0,0.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,,0.0,181.0,94.8,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.85,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,205.0,22.0,0.0,0.0,5.0,66.7,,0,0.0,0.0,0.0,0.0,1043.0,31.0,4.00m,SSC Napoli,Germany,Defensive Midfield,,Diego Demme
22.0,22.0,Giovanni Simeone,FW,27.0,25,1.0,4.5,1.4,1.2,2.5,11.0,9.0,34.0,0.88,0.22,1.11,0.88,1.11,0.3,0.26,0.56,0.3,0.56,57.1,3.1,1.77,0.29,2.6,76.0,71.7,5.0,3.0,2.0,0.0,0.0,1.0,2.0,2.43,0.0,12.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,194.0,92.0,25.0,0.0,15.0,24.0,,4,1.0,5.0,4.0,5.0,1056.0,27.0,17.00m,SSC Napoli,Argentina,Centre-Forward,,Giovanni Simeone
23.0,23.0,Gianluca Gaetano,MF,23.0,8,0.0,0.8,1.1,0.2,1.2,4.0,4.0,9.0,1.2,1.2,2.4,1.2,2.4,1.42,0.22,1.64,1.42,1.64,71.4,8.4,6.0,0.14,-0.1,48.0,77.4,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.62,0.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,79.0,38.0,8.0,0.0,6.0,,,1,1.0,2.0,1.0,2.0,1049.0,22.0,4.50m,SSC Napoli,Italy,Attacking Midfield,,Gianluca Gaetano
24.0,24.0,Karim Zedadka,FW,22.0,3,0.0,0.2,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,11.0,68.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,6.0,2.0,0.0,0.0,50.0,,0,0.0,0.0,0.0,0.0,1048.0,22.0,300k,SSC Napoli,Algeria,Left Midfield,,Karim Zedadka
25.0,25.0,Adam Ounas,FW,26.0,2,0.0,0.2,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,0.0,6.0,0.0,0.0,0.0,13.0,76.5,0.0,2.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,5.0,1.0,0.0,0.0,100.0,,0,0.0,0.0,0.0,0.0,2278.0,26.0,8.00m,LOSC Lille,Algeria,Right Winger,,Adam Ounas
26.0,26.0,Alessandro Zanoli,DF,22.0,1,0.0,0.1,0.1,0.0,0.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,100.0,7.5,7.5,0.0,-0.1,9.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,1544.0,22.0,5.00m,UC Sampdoria,Italy,Right-Back,,Alessandro Zanoli
27.0,27.0,Ederson,GK,28.0,35,35.0,35.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,,0.0,0.0,,0.0,1079.0,85.8,1.0,13.0,0.0,0.0,1.0,8.0,0.0,0.06,0.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,1302.0,0.0,0.0,0.0,35.0,88.9,,0,1.0,1.0,0.0,1.0,0.0,29.0,45.00m,Manchester City,Brazil,Goalkeeper,,Ederson
28.0,28.0,Rodri,MF,26.0,36,34.0,32.3,4.6,4.1,8.7,76.0,260.0,37.0,0.06,0.19,0.25,0.06,0.25,0.14,0.13,0.27,0.14,0.27,28.0,1.55,0.43,0.04,-2.6,2723.0,91.2,32.0,265.0,33.0,3.0,2.0,26.0,6.0,2.84,0.0,67.0,41.0,40.0,14.0,26.0,33.0,43.0,1.0,3272.0,592.0,62.0,0.0,301.0,69.2,,2,6.0,8.0,2.0,8.0,12.0,26.0,80.00m,Manchester City,Spain,Defensive Midfield,,Rodri
29.0,29.0,Erling Haaland,FW,22.0,35,33.0,30.8,23.1,5.3,28.4,35.0,58.0,151.0,1.17,0.26,1.43,0.94,1.2,0.92,0.17,1.1,0.75,0.92,45.7,3.77,1.72,0.25,5.9,360.0,72.0,29.0,14.0,23.0,0.0,4.0,0.0,12.0,2.34,0.0,3.0,2.0,12.0,4.0,8.0,3.0,14.0,0.0,763.0,435.0,217.0,1.0,37.0,50.0,,36,8.0,44.0,29.0,37.0,22.0,22.0,170.00m,Manchester City,Norway,Centre-Forward,,Erling Haaland
30.0,30.0,Kevin De Bruyne,MF,31.0,32,28.0,26.9,5.6,13.7,19.3,100.0,246.0,245.0,0.26,0.6,0.86,0.26,0.86,0.21,0.51,0.72,0.21,0.72,32.3,2.42,0.78,0.11,1.4,1192.0,73.3,96.0,124.0,96.0,21.0,28.0,27.0,226.0,6.55,1.0,28.0,12.0,27.0,2.0,25.0,9.0,10.0,0.0,1860.0,1041.0,100.0,2.0,97.0,50.0,,7,16.0,23.0,7.0,23.0,16.0,31.0,80.00m,Manchester City,Belgium,Attacking Midfield,,Kevin De Bruyne
31.0,31.0,Ilkay Gündogan,MF,31.0,31,27.0,26.1,6.7,3.3,10.0,53.0,170.0,124.0,0.31,0.15,0.46,0.31,0.46,0.29,0.13,0.41,0.26,0.38,37.7,2.03,0.76,0.15,1.3,1374.0,87.1,37.0,143.0,35.0,1.0,18.0,6.0,30.0,3.44,0.0,30.0,18.0,18.0,3.0,15.0,20.0,13.0,0.0,1806.0,596.0,88.0,2.0,155.0,61.3,,8,4.0,12.0,8.0,12.0,,,,Manchester City,,,,Ilkay Gündogan
32.0,32.0,Manuel Akanji,DF,27.0,29,24.0,25.4,1.3,0.4,1.7,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,13.3,0.59,0.08,0.0,-1.3,1912.0,93.0,7.0,140.0,3.0,1.0,0.0,8.0,6.0,0.91,0.0,36.0,25.0,27.0,9.0,18.0,16.0,33.0,0.0,2231.0,176.0,34.0,0.0,136.0,40.4,,0,1.0,1.0,0.0,1.0,7.0,27.0,30.00m,Manchester City,Switzerland,Centre-Back,,Manuel Akanji
33.0,33.0,Bernardo Silva,"MF,FW",27.0,34,24.0,24.5,2.2,3.3,5.4,90.0,130.0,188.0,0.16,0.2,0.37,0.16,0.37,0.09,0.13,0.22,0.09,0.22,36.0,1.02,0.37,0.16,1.8,1317.0,85.4,31.0,76.0,35.0,11.0,3.0,10.0,75.0,3.06,0.0,44.0,23.0,23.0,6.0,17.0,16.0,6.0,0.0,1772.0,707.0,92.0,1.0,122.0,23.5,,4,5.0,9.0,4.0,9.0,17.0,28.0,80.00m,Manchester City,Portugal,Attacking Midfield,,Bernardo Silva
34.0,34.0,Jack Grealish,FW,26.0,28,23.0,22.8,4.6,7.0,11.7,143.0,100.0,310.0,0.22,0.31,0.53,0.22,0.53,0.2,0.31,0.51,0.2,0.51,36.6,1.8,0.66,0.12,0.4,902.0,84.1,50.0,28.0,48.0,2.0,6.0,8.0,53.0,4.55,0.0,25.0,16.0,17.0,3.0,14.0,7.0,9.0,0.0,1308.0,772.0,136.0,1.0,110.0,45.2,,5,7.0,12.0,5.0,12.0,20.0,27.0,70.00m,Manchester City,England,Left Winger,,Jack Grealish
35.0,35.0,Rúben Dias,DF,25.0,26,22.0,22.2,1.3,0.6,1.9,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,20.0,0.45,0.09,0.0,-1.3,1928.0,92.7,3.0,135.0,0.0,0.0,1.0,6.0,1.0,0.68,0.0,21.0,13.0,21.0,13.0,8.0,18.0,56.0,1.0,2237.0,83.0,22.0,0.0,99.0,61.1,,0,0.0,0.0,0.0,0.0,3.0,25.0,75.00m,Manchester City,Portugal,Centre-Back,,Rúben Dias
36.0,36.0,Kyle Walker,DF,32.0,27,22.0,21.8,0.4,0.2,0.7,50.0,162.0,75.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,20.0,0.23,0.05,0.0,-0.4,1661.0,87.8,6.0,189.0,10.0,4.0,4.0,21.0,28.0,1.15,0.0,13.0,9.0,12.0,2.0,10.0,18.0,22.0,0.0,1996.0,370.0,15.0,0.0,124.0,67.6,,0,0.0,0.0,0.0,0.0,10.0,32.0,15.00m,Manchester City,England,Right-Back,,Kyle Walker
37.0,37.0,Riyad Mahrez,"FW,MF",31.0,30,22.0,21.3,4.7,7.0,11.8,78.0,76.0,242.0,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55,28.6,1.97,0.56,0.1,-0.7,958.0,82.2,52.0,36.0,37.0,7.0,10.0,7.0,96.0,5.44,2.0,30.0,14.0,27.0,1.0,26.0,9.0,5.0,0.0,1392.0,802.0,110.0,0.0,82.0,39.1,,5,10.0,15.0,4.0,14.0,21.0,32.0,30.00m,Manchester City,Algeria,Right Winger,,Riyad Mahrez
38.0,38.0,Nathan Aké,DF,27.0,26,22.0,20.8,1.6,0.7,2.3,25.0,140.0,30.0,0.05,0.0,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11,22.2,0.43,0.1,0.11,-0.6,1639.0,90.4,9.0,165.0,9.0,1.0,1.0,6.0,15.0,1.15,0.0,26.0,12.0,20.0,10.0,10.0,20.0,48.0,0.0,1959.0,256.0,32.0,0.0,96.0,61.0,,1,0.0,1.0,1.0,1.0,4.0,28.0,35.00m,Manchester City,Netherlands,Centre-Back,,Nathan Aké
39.0,39.0,Phil Foden,FW,22.0,32,22.0,20.5,5.9,4.7,10.6,68.0,88.0,275.0,0.54,0.29,0.83,0.54,0.83,0.29,0.23,0.52,0.29,0.52,47.8,2.25,1.07,0.24,5.1,904.0,81.4,43.0,38.0,37.0,9.0,4.0,4.0,91.0,4.83,3.0,16.0,10.0,25.0,2.0,23.0,5.0,12.0,0.0,1324.0,790.0,131.0,1.0,91.0,42.2,,11,6.0,17.0,11.0,17.0,19.0,22.0,110.00m,Manchester City,England,Left Winger,,Phil Foden
40.0,40.0,John Stones,"DF,MF",28.0,23,21.0,20.5,1.0,1.4,2.4,28.0,101.0,34.0,0.1,0.1,0.2,0.1,0.2,0.05,0.07,0.12,0.05,0.12,27.3,0.54,0.15,0.18,1.0,1453.0,93.0,8.0,109.0,3.0,0.0,1.0,14.0,6.0,0.78,0.0,23.0,13.0,17.0,10.0,7.0,9.0,40.0,0.0,1690.0,210.0,27.0,0.0,90.0,67.3,,2,2.0,4.0,2.0,4.0,5.0,28.0,30.00m,Manchester City,England,Centre-Back,,John Stones
41.0,41.0,João Cancelo,DF,28.0,17,16.0,14.2,0.8,0.9,1.7,72.0,106.0,125.0,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,17.6,1.2,0.21,0.12,1.2,1036.0,84.9,12.0,80.0,36.0,9.0,2.0,14.0,45.0,2.76,1.0,29.0,21.0,7.0,1.0,6.0,19.0,9.0,1.0,1363.0,461.0,47.0,0.0,80.0,71.1,,2,1.0,3.0,2.0,3.0,1598.0,28.0,60.00m,Bayern Munich,Portugal,Right-Back,,João Cancelo
42.0,42.0,Julián Álvarez,"FW,MF",22.0,31,13.0,16.3,6.2,1.8,8.0,38.0,37.0,99.0,0.55,0.0,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49,43.5,2.83,1.23,0.17,1.8,395.0,78.5,18.0,22.0,13.0,2.0,7.0,3.0,26.0,3.2,1.0,26.0,16.0,13.0,0.0,13.0,2.0,6.0,0.0,654.0,360.0,89.0,1.0,44.0,25.8,,9,0.0,9.0,8.0,8.0,23.0,23.0,50.00m,Manchester City,Argentina,Centre-Forward,,Julián Álvarez
43.0,43.0,Aymeric Laporte,DF,28.0,12,11.0,11.0,0.5,0.2,0.7,30.0,85.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,10.0,0.91,0.09,0.0,-0.5,892.0,92.5,5.0,87.0,7.0,0.0,1.0,6.0,6.0,1.54,0.0,11.0,8.0,10.0,4.0,6.0,3.0,30.0,1.0,1036.0,166.0,13.0,0.0,55.0,55.8,,0,0.0,0.0,0.0,0.0,6.0,28.0,30.00m,Manchester City,Spain,Centre-Back,,Aymeric Laporte
44.0,44.0,Rico Lewis,"DF,MF",17.0,14,10.0,10.0,0.2,1.5,1.7,22.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.17,0.02,0.17,40.0,0.5,0.2,0.0,-0.2,617.0,91.4,12.0,38.0,10.0,3.0,1.0,0.0,5.0,2.69,0.0,16.0,9.0,8.0,4.0,4.0,6.0,13.0,1.0,742.0,199.0,12.0,0.0,43.0,0.0,,0,0.0,0.0,0.0,0.0,11.0,18.0,15.00m,Manchester City,England,Right-Back,,Rico Lewis
45.0,45.0,Stefan Ortega,GK,29.0,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,145.0,86.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,7.0,100.0,,0,0.0,0.0,0.0,0.0,1.0,30.0,6.00m,Manchester City,Germany,Goalkeeper,,Stefan Ortega
